timestamp,step,loss,level_idx,level_name,mastered,accuracy
2026-02-17T22:05:50.810681,10,0.799214,0,"counting",0,0.000
2026-02-17T22:05:52.200926,20,0.615088,0,"counting",0,0.000
2026-02-17T22:05:53.607054,30,0.543451,0,"counting",0,0.000
2026-02-17T22:05:55.012335,40,0.506810,0,"counting",0,0.000
2026-02-17T22:05:56.400836,50,0.483479,0,"counting",0,0.000
2026-02-17T22:05:57.796332,60,0.401925,0,"counting",0,0.000
2026-02-17T22:05:59.191854,70,0.393908,0,"counting",0,0.000
2026-02-17T22:06:00.588582,80,0.391488,0,"counting",0,0.000
2026-02-17T22:06:01.989527,90,0.390018,0,"counting",0,0.000
2026-02-17T22:06:03.398656,100,0.388948,0,"counting",0,0.000
2026-02-17T22:06:06.398823,110,0.388065,0,"counting",0,0.300
2026-02-17T22:06:07.800555,120,0.387171,0,"counting",0,0.300
2026-02-17T22:06:09.209998,130,0.386021,0,"counting",0,0.300
2026-02-17T22:06:10.613456,140,0.384184,0,"counting",0,0.300
2026-02-17T22:06:12.019591,150,0.384250,0,"counting",0,0.300
2026-02-17T22:06:13.426110,160,0.383827,0,"counting",0,0.300
2026-02-17T22:06:14.829121,170,0.382410,0,"counting",0,0.300
2026-02-17T22:06:16.243133,180,0.382424,0,"counting",0,0.300
2026-02-17T22:06:17.646539,190,0.382620,0,"counting",0,0.300
2026-02-17T22:06:19.048998,200,0.382471,0,"counting",0,0.300
2026-02-17T22:06:22.052858,210,0.381347,0,"counting",0,0.300
2026-02-17T22:06:23.461092,220,0.381768,0,"counting",0,0.300
2026-02-17T22:06:24.869370,230,0.381575,0,"counting",0,0.300
2026-02-17T22:06:26.291789,240,0.381069,0,"counting",0,0.300
2026-02-17T22:06:27.701565,250,0.380880,0,"counting",0,0.300
2026-02-17T22:06:29.102772,260,0.381353,0,"counting",0,0.300
2026-02-17T22:06:30.509027,270,0.381911,0,"counting",0,0.300
2026-02-17T22:06:31.918898,280,0.380998,0,"counting",0,0.300
2026-02-17T22:06:33.329756,290,0.380684,0,"counting",0,0.300
2026-02-17T22:06:34.745453,300,0.380267,0,"counting",0,0.300
2026-02-17T22:06:37.816597,310,0.378760,0,"counting",0,0.300
